MCS,ChannelWidth,GuardInterval,ThroughputMbps,PacketLoss
0,20,800,25.9373,980177
0,40,800,25.9334,980180
0,80,800,25.919,980191
0,160,800,25.9085,980199
1,20,800,52.2187,960091
1,40,800,52.152,960142
1,80,800,52.2109,960097
1,160,800,52.1297,960159
2,20,800,78.3483,940121
2,40,800,78.228,940213
2,80,800,78.2646,940185
2,160,800,78.2188,940220
3,20,800,103.867,920618
3,40,800,103.582,920836
3,80,800,103.756,920703
3,160,800,103.822,920652
4,20,800,117.659,910077
4,40,800,117.685,910057
4,80,800,117.644,910089
4,160,800,117.7,910046
5,20,800,117.731,910022
5,40,800,117.624,910104
5,80,800,117.625,910103
5,160,800,117.726,910026
6,20,800,117.731,910022
6,40,800,117.729,910024
6,80,800,117.625,910103
6,160,800,117.743,910013
7,20,800,117.647,910086
7,40,800,117.689,910054
7,80,800,117.699,910047
7,160,800,117.729,910024
8,20,800,117.744,910012
8,40,800,117.687,910056
8,80,800,117.731,910022
8,160,800,117.679,910062
9,20,800,117.731,910022
9,40,800,117.663,910074
9,80,800,117.704,910043
9,160,800,117.68,910061
