MCS,ChannelWidth,GI,Throughput_Mbps
0,20 MHz,3200 ns,6.30672
0,20 MHz,1600 ns,6.30672
0,20 MHz,800 ns,7.41384
0,40 MHz,3200 ns,12.6134
0,40 MHz,1600 ns,12.614
0,40 MHz,800 ns,14.887
0,80 MHz,3200 ns,26.4516
0,80 MHz,1600 ns,26.4522
0,80 MHz,800 ns,31.1427
0,160 MHz,3200 ns,52.841
0,160 MHz,1600 ns,52.8422
0,160 MHz,800 ns,62.2244
1,20 MHz,3200 ns,12.6711
1,20 MHz,1600 ns,12.6711
1,20 MHz,800 ns,14.9509
1,40 MHz,3200 ns,25.3971
1,40 MHz,1600 ns,25.3977
1,40 MHz,800 ns,29.9012
1,80 MHz,3200 ns,53.0684
1,80 MHz,1600 ns,53.0695
1,80 MHz,800 ns,62.4887
1,160 MHz,3200 ns,103.669
1,160 MHz,1600 ns,103.672
1,160 MHz,800 ns,120.625
2,20 MHz,3200 ns,19.0249
2,20 MHz,1600 ns,19.0249
2,20 MHz,800 ns,22.3625
2,40 MHz,3200 ns,38.0486
2,40 MHz,1600 ns,38.0509
2,40 MHz,800 ns,44.8521
2,80 MHz,3200 ns,79.072
2,80 MHz,1600 ns,79.0748
2,80 MHz,800 ns,92.2628
2,160 MHz,3200 ns,150.47
2,160 MHz,1600 ns,150.474
2,160 MHz,800 ns,174.264
3,20 MHz,3200 ns,25.4531
3,20 MHz,1600 ns,25.4537
3,20 MHz,800 ns,29.9656
3,40 MHz,3200 ns,50.8833
3,40 MHz,1600 ns,50.8855
3,40 MHz,800 ns,59.9312
3,80 MHz,3200 ns,104.033
3,80 MHz,1600 ns,104.036
3,80 MHz,800 ns,121.117
3,160 MHz,3200 ns,196.5
3,160 MHz,1600 ns,196.503
3,160 MHz,800 ns,226.727
4,20 MHz,3200 ns,38.131
4,20 MHz,1600 ns,38.1326
4,20 MHz,800 ns,44.9484
4,40 MHz,3200 ns,75.7887
4,40 MHz,1600 ns,75.7898
4,40 MHz,800 ns,88.4985
4,80 MHz,3200 ns,151.236
4,80 MHz,1600 ns,151.236
4,80 MHz,800 ns,175.291
4,160 MHz,3200 ns,276.904
4,160 MHz,1600 ns,276.9
4,160 MHz,800 ns,316.944
5,20 MHz,3200 ns,50.8833
5,20 MHz,1600 ns,50.8855
5,20 MHz,800 ns,59.9312
5,40 MHz,3200 ns,99.4011
5,40 MHz,1600 ns,99.4045
5,40 MHz,800 ns,115.781
5,80 MHz,3200 ns,196.5
5,80 MHz,1600 ns,196.503
5,80 MHz,800 ns,226.727
5,160 MHz,3200 ns,350.742
5,160 MHz,1600 ns,350.745
5,160 MHz,800 ns,398.572
6,20 MHz,3200 ns,57.1962
6,20 MHz,1600 ns,57.1978
6,20 MHz,800 ns,67.2011
6,40 MHz,3200 ns,111.286
6,40 MHz,1600 ns,111.287
6,40 MHz,800 ns,129.468
6,80 MHz,3200 ns,217.555
6,80 MHz,1600 ns,217.558
6,80 MHz,800 ns,250.503
6,160 MHz,3200 ns,387.209
6,160 MHz,1600 ns,387.212
6,160 MHz,800 ns,438.501
7,20 MHz,3200 ns,63.6709
7,20 MHz,1600 ns,63.6737
7,20 MHz,800 ns,74.4492
7,40 MHz,3200 ns,122.912
7,40 MHz,1600 ns,122.915
7,40 MHz,800 ns,142.859
7,80 MHz,3200 ns,238.461
7,80 MHz,1600 ns,238.463
7,80 MHz,800 ns,274.011
7,160 MHz,3200 ns,416.011
7,160 MHz,1600 ns,416.006
7,160 MHz,800 ns,469.911
8,20 MHz,3200 ns,75.7887
8,20 MHz,1600 ns,75.7898
8,20 MHz,800 ns,88.4985
8,40 MHz,3200 ns,145.322
8,40 MHz,1600 ns,145.322
8,40 MHz,800 ns,168.542
8,80 MHz,3200 ns,276.904
8,80 MHz,1600 ns,276.9
8,80 MHz,800 ns,316.944
8,160 MHz,3200 ns,478.465
8,160 MHz,1600 ns,478.465
8,160 MHz,800 ns,537.349
9,20 MHz,3200 ns,83.753
9,20 MHz,1600 ns,83.7553
9,20 MHz,800 ns,97.7054
9,40 MHz,3200 ns,159.911
9,40 MHz,1600 ns,159.912
9,40 MHz,800 ns,185.168
9,80 MHz,3200 ns,303.212
9,80 MHz,1600 ns,303.21
9,80 MHz,800 ns,346.077
9,160 MHz,3200 ns,511.461
9,160 MHz,1600 ns,511.461
9,160 MHz,800 ns,572.464
10,20 MHz,3200 ns,93.5777
10,20 MHz,1600 ns,93.5799
10,20 MHz,800 ns,109.058
10,40 MHz,3200 ns,177.733
10,40 MHz,1600 ns,177.732
10,40 MHz,800 ns,205.457
10,80 MHz,3200 ns,334.949
10,80 MHz,1600 ns,334.952
10,80 MHz,800 ns,381.273
10,160 MHz,3200 ns,563.053
10,160 MHz,1600 ns,563.053
10,160 MHz,800 ns,627.127
11,20 MHz,3200 ns,103.548
11,20 MHz,1600 ns,103.551
11,20 MHz,800 ns,120.562
11,40 MHz,3200 ns,194.785
11,40 MHz,1600 ns,194.789
11,40 MHz,800 ns,224.786
11,80 MHz,3200 ns,362.119
11,80 MHz,1600 ns,362.121
11,80 MHz,800 ns,411.009
